smiles,mutagenicity
Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,0
Cc1cc(N)ccc1N,1
Nc1ccc(Cl)cc1,1
Nc1c2ccccc2nc2ccccc12,1
O=C(O)C(O)C(O)C(=O)O,0
CC(O)CN(CC(C)O)CC(C)O.O=C(O)COc1ccc(Cl)cc1Cl,0
N.O=C(O)O,0
N.N.O=C(O)O,0
Cc1ccc(O)cc1.Cc1cccc(O)c1.Cc1ccccc1O,0
CCCCCCCCC=CCCCCCCCC(=O)O.NCCO,0
O=C(O)O.[NaH],0
O=S(=O)(O)O.OC[PH](CO)(CO)CO,0
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Cl.Nc1ccc2cc3ccc(N)cc3nc2c1,1
O=C(O)O.[CaH2],0
O=C(O)O.[KH].[KH],0
Cc1ccc(C)cc1.Cc1cccc(C)c1.Cc1ccccc1C,0
Cc1cc(C=Cc2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.Cc1cc(C=Cc2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],1
C=Cc1ccc(C)cc1.C=Cc1cccc(C)c1,0
Cn1sc(Cl)cc1=O.Cn1sccc1=O,1
CC(O)C(N)C(O)C(O)C=O.CNc1ccc(C(C)=O)cc1,0
CC(C)N.O=C(O)COc1ccc(Cl)cc1Cl,0
CCSCCOP(=S)(OC)OC.CCSCCSP(=O)(OC)OC,0
